English,Polish
fucked,pieprzony
lonely,samotny
happiness,szczêœcie
eric,eric
tiny,malutki
desk,biurko
pool,basen
property,w³asnoœæ
forced,wymuszony
settle,rozstrzygn¹æ
indistinct,niewyraŸny
weight,waga
received,odebrane
gang,banda
bite,ugryzienie
friday,pi¹tek
disappeared,znikn¹³
interview,wywiad
expecting,przy nadziei
kinda,poniek¹d
surgery,chirurgia
horses,konie
mayor,burmistrz
babe,dziecko
ancient,staro¿ytny
handsome,przystojny
thomas,tomasz
saturday,sobota
staff,personel
lines,linie
unit,jednostka
fan,mi³oœnik
gentleman,pan
introduce,przedstawiaæ
fate,los
split,rozdzielaæ
recently,ostatnio
expected,spodziewany
add,dodaj
ordered,zamówiono
slowly,powoli
alarm,alarm
member,cz³onek
slept,spa³
signed,podpisane
enter,wejœæ
spanish,hiszpañski
garden,ogród
brings,przynosi
brave,odwa¿ny
pig,œwinia
model,model
finger,palec
medicine,lekarstwo
access,dostêp
failed,przegrany
flat,mieszkanie
easily,z ³atwoœci¹
discovered,odkryty
based,na podstawie
screw,œruba
insane,ob³¹kany
cares,troszczy siê
weather,pogoda
fingers,palce
san,san
scott,scott
path,œcie¿ka
soft,miêkki
harm,zaszkodziæ
style,styl
community,wspólnota
sees,widzi
basically,zasadniczo
al,glin
signal,sygna³
nope,nie
spare,zapasowy
speech,przemówienie
covered,pokryty
shake,potrz¹sn¹æ
loose,luŸny
snow,œnieg
russian,rosyjski
lake,jezioro
bright,jasny
roof,dach
ohh,ohh
sending,wysy³anie
paint,farba
remind,przypominaæ
pal,kumpel
naked,nagi
post,poczta
sugar,cukier
heading,nag³ówek
streets,ulice
damage,szkoda
silence,cisza
doors,drzwi
pete,pete
ed,wyd
success,powodzenie
wet,mokro
nah,nie
amount,iloœæ
members,cz³onkowie
kate,kate
manage,zarz¹dzaæ
safety,bezpieczeñstwo
returned,zwrócony
harder,trudniej
fbi,fbi
block,blok
showing,seans
fancy,wymyœlny
chef,szef kuchni
contract,kontrakt
dig,kopaæ
chest,skrzynia
good-bye,do widzenia
drinks,napoje
dave,dave
buried,pochowany
brian,brian
trade,handel
journey,podró¿
stomach,¿o³¹dek
changes,zmiany
details,detale
thoughts,myœli
divorce,rozwód
funeral,pogrzeb
maria,maria
football,pi³ka no¿na
reality,rzeczywistoœæ
theory,teoria
gosh,bo¿e
ruined,zrujnowany
gate,brama
william,william
spread,rozpiêtoœæ
outta,outta
japanese,jêzyk japoñski
sudden,nag³y
coat,p³aszcz
sooner,wczeœniej
cheese,ser
larry,larry
spring,wiosna
page,strona
ears,uszy
simon,szymon
castle,zamek
hidden,ukryty
storm,burza
cos,sa³ata
personally,osobiœcie
artist,artysta
hill,wzgórze
exciting,ekscytuj¹cy
permission,pozwolenie
jerry,nocnik
expensive,kosztowny
tickets,bilety
forest,las
barely,ledwie
eggs,jajka
goin,wejœæ
regret,¿al
lesson,lekcja
lover,kochanek
bread,chleb
andy,andy
subject,przedmiot
legal,prawny
growing,rozwój
ill,chory
jason,jason
mood,nastrój
owner,w³aœciciel
caused,spowodowany
beeping,sygna³ dŸwiêkowy
points,zwrotnica
dating,randki
loss,strata
secretary,sekretarz
revenge,zemsta
santa,œwiêty
likely,prawdopodobne
rent,wynajem
connection,po³¹czenie
assistant,asystent
reasons,powody
yelling,wrzeszcza³
painting,obraz
trees,drzewa
doctors,lekarze
rush,wysypka
foreign,zagraniczny
rough,surowy
murderer,morderca
century,wiek
nights,noce
pair,para
runs,biegi
pocket,kieszeñ
farm,gospodarstwo rolne
matt,matt
bike,rower
obvious,oczywiste
ate,jedli
grew,dorasta³
professional,profesjonalny
tim,tim
goodness,dobroæ
parts,czêœci
alan,alan
university,uniwersytet
square,kwadrat
grandfather,dziadek
europe,europa
genius,geniusz
cases,sprawy
ruin,ruina
winter,zima
tongue,jêzyk
memories,wspomnienia
da,da
buying,kupowanie
cancer,nowotwór
clock,zegar
ocean,ocean
dna,dna
liar,k³amca
tour,wycieczka
thief,z³odziej
bleep,bleep
lisa,lisa
rights,prawa
including,w³¹cznie z
competition,konkurencja
smith,kowal
planned,zaplanowany
emily,emilia
boring,nudy
victims,ofiary
mentioned,wspomniany
bones,koœci
plant,zak³ad
bless,b³ogos³awiæ
warning,ostrze¿enie
knocking,pukanie
re,odnoœnie
crash,rozbiæ siê
bedroom,sypialnia
lower,ni¿ej
silver,srebro
groaning,jêczeæ
madame,pani
defense,obrona
results,wyniki
toilet,toaleta
event,wydarzenie
complicated,skomplikowany
shape,kszta³t
priest,kap³an
royal,królewski
cheap,tani
romantic,romantyczny
downstairs,na dole
invite,zapraszaæ
fortune,fortuna
tears,³zy
avoid,unikaæ
reached,osi¹gniêty
higher,wy¿szy
familiar,znajomy, rodzinny
telephone,telefon
burning,palenie
filled,wype³niony
kelly,kelly
alice,alice
airport,lotnisko
jobs,oferty pracy
grown,doros³y
walter,walter
rachel,rachel
giant,ogromny
insurance,ubezpieczenie
woods,las
n,n
scare,przestraszyæ
pleased,zadowolony
period,kropka
political,polityczny
player,gracz
stops,przystanki
secrets,tajniki
laura,laura
repeat,powtarzaæ
photos,zdjêcia
finds,znaleziska
statement,oœwiadczenie
suck,ssaæ
younger,m³odszy
china,chiny
humans,ludzie
delicious,pyszne
particular,konkretny
proper,w³aœciwy
rome,rzym
belongs,nale¿y
attacked,zaatakowany
bath,k¹piel
hired,zatrudniony
site,strona
knowledge,wiedza
b,b
led,doprowadzi³o
guests,goœcie
celebrate,œwiêtowaæ
map,mapa
horn,klakson
eventually,ostatecznie
pity,szkoda
powers,uprawnienie
ashamed,zawstydzony
assume,za³o¿yæ
glasses,okulary
rise,wzrastaæ
fixed,naprawi³
request,¿¹danie
officers,oficerowie
pounds,funty
data,dane
carefully,ostro¿nie
per,za
depends,zale¿y
jury,jury
waited,czeka³em
positive,pozytywny
attorney,adwokat
direction,kierunek
families,rodziny
clock,zegar
doin,doin
forces,si³y
location,lokalizacja
walls,œciany
useless,bezu¿yteczny
grant,dotacja
saving,oszczêdnoœæ
speaks,mówi
fought,walczy³
meal,posi³ek
deliver,dostarczyæ
answers,odpowiedzi
changing,wymiana pieniêdzy
temple,œwi¹tynia
scary,straszny
millions,miliony
offered,oferowany
regular,regularny
carrying,nios¹c
official,urzêdnik
jacket,kurtka
switch,prze³¹cznik
grave,mogi³a
chase,poœcig
role,rola
odd,dziwne
sexy,seksowny
faces,twarze
becomes,staje siê
closes,zamyka
badly,Ÿle
tall,wysoki
confused,zmieszany
affair,romans
television,telewizja
shock,zaszokowaæ
raised,uniesiony
panting,dysz¹c
pizza,pizza
image,obraz
clears,oczyszczenia
golden,z³oty
patients,pacjenci
watched,obejrzane
committed,zaanga¿owany
sexual,seksualny
suffer,cierpieæ
arthur,arthur
wherever,gdziekolwiek
plate,talerz
appear,pojawiæ siê
chocolate,czekolada
clever,sprytny
hm,hm
mercy,³aska
shots,strza³y
lucy,lucy
dealing,postêpowanie
trap,pu³apka
charges,op³aty
phil,phil
bang,huk
poison,zatruæ
butt,krupon
drove,stado
yourselves,siê
headed,g³owiasty
babies,dzidziusie
yellow,¿ó³ty
soup,zupa
mystery,tajemnica
picking,owocobranie
sat,sat
wound,rana
traffic,ruch drogowy
courage,odwaga
hunt,polowanie
indian,indyjski
rat,szczur
terms,semestry
italian,w³oski
emma,emma
checking,kontrola
disease,choroba
managed,zarz¹dzany
winner,zwyciêzca
council,rada
appointment,wizyta, umówione spotkanie
monday,poniedzia³ek
crack,pêkaæ
threat,groŸba
jenny,przêdzarka
physical,fizyczny
nation,naród
source,Ÿród³o
chose,wybra³
healthy,zdrowy
carl,carl
victory,zwyciêstwo
rick,stóg
stood,sta³
kicked,kopniêty
annie,annie
disgusting,obrzydliwy
palace,pa³ac
below,poni¿ej
shopping,zakupy
neighborhood,s¹siedztwo
march,marsz
lips,usta
midnight,œrodek nocy
piss,siki
advantage,korzyœæ
pure,czysty
india,indie
aside,na bok
jerk,szarpaæ
mail,poczta
dawn,œwit
effect,efekt
spell,zaklêcie
freak,dziwak
wood,drewno
screwed,pijany
enemies,wrogowie
gary,gary
awake,obudziæ
chuckling,chichot
vacation,wakacje
violence,przemoc
leo,lew
grandmother,babcia
modern,nowoczesny
luke,³ukasz
firm,solidny
prime,g³ówny
heh,heh
touched,wzruszony
talent,talent
whore,kurwa
piano,fortepian
license,licencja
cooking,gotowanie
honour,zaszczyt
concern,sprawa
moves,ruchy
available,do dyspozycji
factory,fabryka
gods,bogowie
value,wartoœæ
central,centralny
union,unia
mirror,lustro
studio,studio
media,g³oska bezdŸwiêczna
taxi,taxi
dies,umiera
iron,¿elazo
hearts,kiery
desire,pragnienie
rob,obrabowaæ
claire,claire
fred,fred
songs,piosenki
washington,waszyngton
monkey,ma³pa
pride,duma
pills,pigu³ki
miracle,cud
swim,p³ywaæ
burned,spalony
smells,zapach
joking,¿artowanie
christian,chrzeœcijanin
bleeding,krwawienie
hook,hak
beating,bicie
protection,ochrona
treatment,leczenie
ear,ucho
carter,furman
metal,metal
disappear,znikaæ
grateful,wdziêczny
extremely,niezwykle
treasure,skarb
rescue,ratowaæ
capable,zdolny
passing,przechodz¹cy
chatter,gadaæ
result,wynik
suffering,cierpienie
sisters,siostry
laid,po³o¿ony
governor,gubernator
guards,gwardia
louis,louis
text,tekst
literally,dos³ownie
remove,usun¹æ
becoming,twarzowy
performance,wydajnoœæ
stronger,silniejszy
rate,wskaŸnik
deeply,g³êboko
scream,krzyk
desert,pustynia
vehicle,pojazd
illegal,nielegalny
pulling,ci¹gniêcie
throwing,rzucanie
josh,josh
unbelievable,nie do wiary
ted,przetrz¹saæ
zero,zero
dean,dziekan
curious,ciekawski
sean,sean
candy,cukierek
bone,koœæ
tied,zawi¹zany
edge,brzeg
load,za³aduj
susan,susan
ahh,ahh
mountains,góry
boom,bum
former,dawny
holiday,œwiêto
riding,jazda konna
scoffs,szydzi
hundreds,setki
motherfucker,skurwysynek
sue,pozwaæ
bags,torebki
stealing,kradzie¿
appears,wydaje
arrive,przyjechaæ
remains,pozostaje
decent,przyzwoity
issues,zagadnienia
tip,wskazówka
fail,ponieœæ pora¿kê
bride,panna m³oda
pissed,zalany
penny,grosz
claim,prawo
friendship,przyjaŸñ
desperate,zdesperowany
flower,kwiat
dramatic,dramatyczny
refuse,odrzucaæ
solve,rozwi¹zywaæ
theme,motyw
loving,kochaj¹cy
properly,odpowiednio
dragon,smok
mostly,przewa¿nie
chuck,gdakanie
directly,bezpoœrednio
surface,powierzchnia
FALSE,fa³szywy
cast,rzucaæ
junior,junior
hunting,polowanie
silent,cichy
thou,ty
egg,jajko
germany,niemcy
punch,dziurkacz
africa,afryka
woke,obudzi³
intelligence,inteligencja
borrow,po¿yczyæ
winning,zwyciêski
falls,spada
popular,popularny
escaped,uciek³
witch,czarownica
convinced,przekonany
warn,ostrzegaæ
announcer,spiker
champagne,szampan
dust,py³
kyle,kyle
someday,pewnego dnia
fallen,upad³y
stranger,nieznajomy
presence,obecnoœæ
tear,³za
st.,st.
internet,internet
monsieur,lord
therefore,dlatego
technology,technologia
tires,opony
toast,toast
wise,m¹dry
clark,clark
americans,amerykanie
notes,notatki
smoking,palenie
hank,motek
ls,ls
april,kwiecieñ
wolf,wilk
precious,cenny
rooms,pokoje
coast,wybrze¿e
treated,leczony
material,materia³
released,wydany
uniform,mundur
hated,znienawidzony
considered,uwa¿ane
rice,ry¿
exchange,wymieniaæ siê
steps,kroki
blake,blake
convince,przekonaæ
beast,bestia
cow,krowa
files,akta
signs,oznaki
drag,ci¹gn¹æ
cab,taksówka
hung,zawieszony
carried,realizowane
ordinary,zwyk³y
successful,odnosz¹cy sukcesy
eve,przeddzieñ
mistakes,b³êdy
houses,domy
chattering,gadanie
brains,mózg
japan,japonia
creature,kreatura
fourth,czwarty
separate,oddzielny
cleaning,czyszczenie
california,kalifornia
lf,lf
ll,ll
shift,zmiana
elizabeth,elizabeth
chicago,chicago
exact,dok³adny
karen,karen
goal,bramka
expert,ekspert
served,podawane
direct,bezpoœredni
score,wynik
row,wiersz
marks,znaki
twenty,20
receive,odbieraæ
series,seria
section,sekcja
pilot,pilot
jackson,jackson
darkness,ciemnoœæ
thy,twój
sale,wyprzeda¿
destiny,przeznaczenie
cure,lek
spoken,mówiony
armed,uzbrojony
rare,rzadki
helen,helen
grade,gatunek
juice,sok
wide,szeroki
tower,wie¿a
solution,rozwi¹zanie
schedule,harmonogram
explosion,eksplozja
wheel,ko³o
cigarette,papieros
julie,julie
fruit,owoc
blew,blew
victor,zwyciêzca
talks,rozmowy
sacrifice,poœwiêcenie
range,zasiêg
button,przycisk
reports,raporty
prisoner,wiêzieñ
pie,ciasto
effort,wysi³ek
youth,m³odzie¿
pot,garnek
eaten,zjedzony
taylor,taylor
knees,kolana
garage,gara¿
parking,parking
ambulance,karetka
staring,gapiowski
chances,szanse
circumstances,okolicznoœci
sin,grzech
gordon,gordon
progress,postêp
unusual,niezwyk³e
county,hrabstwo
stairs,schody
campaign,kampania
mon,mon
vision,wizja
reporter,reporter
equipment,ekwipunek
moments,chwile
joey,joey
mass,masa
alien,obcy
trapped,uwiêziony
helps,pomaga
route,trasa
defend,broniæ
trace,namierzaæ
nasty,paskudny
tests,testy
magazine,czasopismo
rocks,ska³y
dump,wysypisko
rude,niegrzeczny
searching,badawczy
clue,wskazówka
connected,po³¹czony
amen,amen
pushed,pchany
merry,radosny
zone,strefa
senior,senior
closing,zamkniêcie
freeze,zamra¿aæ
emperor,cesarz
incident,incydent
snake,w¹¿
mexico,meksyk
lily,lilia
actor,aktor
newspaper,gazeta
sentence,wyrok
greg,greg
leading,prowadz¹cy
friendly,przyjazny
jones,jones
chosen,wybrany
engaged,zarêczony
julia,julia
charming,uroczy
mustn,mustn
anger,gniew
spending,wydatki
learning,uczenie siê
spy,szpieg
sharp,ostry
shadow,cieñ
warrant,nakaz
elevator,winda
kingdom,królestwo
ricky,ricky
jamie,jamie
squad,dru¿yna
shoulder,ramiê
wave,fala
amanda,amanda
highness,wygórowanie
kinds,rodzaje
fishing,wêdkarstwo
sometime,czasami
attitude,nastawienie
sucks,suck
negative,negatywny
screen,ekran
workers,pracownicy
bored,znudzony
cameras,kamery
similar,podobny
understanding,zrozumienie
beeps,sygna³y dŸwiêkowe
chain,³añcuch
bull,byk
gasping,bez tchu
fully,w pe³ni
robin,rudzik
collect,zebraæ
gorgeous,przepiêkny
morgan,morgan
passion,pasja
writer,pisarz
empire,imperium
international,miêdzynarodowy
curse,przekleñstwo
hire,wynajmowaæ
bastards,bastardowie
puts,pass
leads,wskazówki
id,id
blows,blows
sons,synowie
estate,osiedle
customers,klienci
maggie,maggie
gunshot,postrza³owy
i-,i-
device,urz¹dzenie
troops,wojsko
hug,uœcisk
design,projekt
movement,ruch
thunder,grzmot
object,obiekt
loser,przegrany
pen,d³ugopis
sobbing,sobbing
politics,polityka
despite,mimo
alcohol,alkohol
climb,wspinaæ siê
clients,klienci
conference,konferencja
provide,dostarczaæ
marty,marty
seek,szukaæ
witnesses,œwiadkowie
earn,zarabiaæ
trash,œmieci
valley,dolina
fashion,moda
howard,howard
episode,epizod
prize,nagroda
previously,poprzednio
sports,sporty
wanting,brakuj¹cy
debt,d³ug
wishes,¿yczenia
hitler,hitler
wire,drut
thee,ciebie
circle,okr¹g
approach,zbli¿aæ siê
stock,zbiory
facts,fakty
remembered,zapamiêtany
percent,procent
normally,normalnie
tail,ogon
joined,do³¹czy³
education,edukacja
bravo,brawo
library,biblioteka
rape,rzepak
wings,skrzyde³ka
growling,warczenie
thrown,rzucony
tank,czo³g
exhales,wydech
authority,autorytet
current,obecny
failure,awaria
nightmare,koszmar
hitting,uderzenie
glory,chwa³a
knocked,zapuka³
studying,uczenie siê
barry,barry
agency,agencja
apple,jab³ko
border,granica
rope,lina
duck,kaczka
reputation,reputacja
confidence,zaufanie
yard,dziedziniec
beloved,ukochany
lack,brak
actual,rzeczywisty
skills,umiejêtnoœci
films,filmy
mental,psychiczny
salt,sól
flesh,cia³o
anne,anne
secure,bezpieczne
highly,wysoko
federal,federalny
sand,piasek
emotional,emocjonalny
setting,ustawienie
nothin,nic
senator,senator
services,us³ugi
robbery,rozbój
hates,nienawidzi
fed,karmiony
reward,nagroda
theater,teatr
johnson,johnson
commit,pope³niaæ
patrick,patrick
entirely,ca³kowicie
extraordinary,nadzwyczajny
ships,statki
opposite,naprzeciwko
parties,imprezy
stands,stoi
terry,terry
chat,czat
events,wydarzenia
mummy,mumia
bay,zatoka
slip,poœlizg
disappointed,rozczarowany
settled,zadomowiony
begins,zaczyna siê
andrew,andrzej
alert,alarm
detail,szczegó³
pink,ró¿owy
fellas,faceci
accepted,przyjêty
background,t³o
garbage,œmieci
panic,panika
minds,umys³y
belt,pas
blowing,dmuchanie
hollywood,hollywood
agreement,umowa
jackie,jackie
pushing,popychanie
ability,umiejêtnoœæ
tiger,tygrys
whispering,szeptanie
culture,kultura
saint,œwiêty
jesse,jesse
task,zadanie
solid,solidny
doll,lalka
intend,zamierzaæ
district,dzielnica
pa,rocznie
gee,ojej
custody,opieka
ignore,ignorowaæ
naturally,naturalnie
useful,u¿yteczne
attempt,próba
abandoned,opuszczony
cutting,ci¹æ
kissed,poca³owany
guarantee,gwarancja
barking,korowanie
gather,zebraæ
policy,polityka
u.s.,nas.
violent,brutalny
maid,pokojówka
embarrassing,¿enuj¹cy
childhood,dzieciñstwo
wasting,zmarnowanie
bow,kokarda
chick,pisklê
sara,sara
disaster,katastrofa
revolution,rewolucja
online,online
f,f
demon,demon
heavily,ciê¿ko
coincidence,zbieg okolicznoœci
perform,odgrywaæ
thin,cienki
terrific,przera¿aj¹cy
mac,prochowiec
crown,korona
identity,to¿samoœæ
virgin,dziewica
impressive,imponuj¹cy
windows,okna
no-one,nikt
potential,potencja³
guitar,gitara
committee,komisja
dozen,tuzin
delivery,dostawa
advance,osi¹gniêcie
quietly,cicho
stan,stan
teaching,nauczanie
hunter,³owca
latest,najnowszy
hurting,bolesne
swing,huœtaæ siê
capital,kapita³
counting,rachunkowoœæ
drew,rysowa³
dirt,brud
whistle,gwizdaæ
marie,marie
hits,trafienia
doug,doug
deny,zaprzeczyæ
urgent,pilne
threatened,zagro¿ony
behavior,zachowanie
molly,peda³
mixed,mieszany
stays,gorset
assure,gwarantowaæ
subtitles,napisy na filmie obcojêzycznym
explanation,wyjaœnienie
wins,wygrywa
unique,unikalny
chasing,œciganie
billion,miliard
duke,ksi¹¿ê
production,produkcja
slave,niewolnik
agents,agenci
carol,kolêda
lets,pozwól
cruel,okrutny
mask,maska
sally,wypad
behave,zachowywaæ siê
bury,pogrzebaæ
massive,masywny
pathetic,¿a³osne
species,gatunek
approaching,zbli¿aj¹cy siê
jo,jo
loan,po¿yczka
struggle,walka
dish,danie
trusted,zaufany
jumped,skoczy³
firing,ostrza³
channel,kana³
abby,abby
stopping,zatrzymanie
asks,pyta
jean,drelich
swimming,p³ywanie
daily,codzienny
basement,piwnica
linda,linda
quarter,kwarta³
erm,erm
bound,zobowi¹zany
navy,marynarka wojenna
article,artyku³
guide,przewodnik
accused,oskar¿ony
transfer,przenosiæ
guts,wnêtrznoœci
quality,jakoœæ
fella,koleœ
roman,rzymski
greater,wiêkszy
damned,cholernie
couch,kanapa
cheer,wiwat
vegas,vegas
shoe,but
title,tytu³
shy,nieœmia³y
punishment,kara
los,los
clicks,klikniêcia
you,ty
closet,gabinet
bye-bye,pa pa
fever,gor¹czka
coward,tchórz
flash,lampa b³yskowa
impressed,pod wra¿eniem
bruce,bruce
siren,syrena
prisoners,wiêŸniowie
sides,boki
bowl,miska
katie,katie
supply,dostarczaæ
sensitive,wra¿liwy
hopefully,ufnie
rolling,walcowanie
roy,roy
dollar,dolar
tone,ton
voices,g³osy
g,g
i,i
cheating,oszukiwanie
confess,wyznaæ
demand,¿¹danie
museum,muzeum
unknown,nieznany
drama,dramat
suspicious,podejrzany
adult,doros³y
todd,todd
frightened,przera¿ony
warned,ostrze¿ony
steady,sta³y
kills,zabójstwa
crossed,skrzy¿owane
lou,lou
particularly,w szczególnoœci
sandwich,kanapka
laws,prawa
joint,wspólny
bullets,kule
package,pakiet
trained,przeszkolony
thursday,czwartek
boots,buty
possibility,mo¿liwoœæ
albert,albert
civil,cywilny
june,czerwiec
germans,niemcy
baseball,baseball
express,wyraziæ
miserable,nieszczêœliwy
tuesday,wtorek
parker,parker
lion,lew
joseph,joseph
refused,odrzucony
shine,po³ysk
assault,napaœæ
hong,hong
jokes,¿arby
breaks,przerwy
argue,k³óciæ siê
you-,ty-
trail,œcie¿ka
option,opcja
recall,przypomnienie sobie czegoœ
mighty,potê¿ny
collection,kolekcja
oliver,oliver
wilson,wilson
accent,akcent
believes,wierzy
decisions,decyzje
embarrassed,zak³opotany
mobile,mobilny
customer,klient
terribly,niemo¿liwie
sec,sec
charity,ja³mu¿na
considering,rozwa¿aj¹c
pussy,kiciuœ
donna,donna
protecting,ochrona
flag,flaga
kidnapped,porwany
italy,w³ochy
balance,saldo
creatures,stworzenia
nuclear,j¹drowy
wallet,portfel
shout,krzyczeæ
vincent,vincent
entered,wesz³a
impression,wra¿enie
angela,angela
jay,sójka
degrees,stopni
favour,przychylnoœæ
reaction,reakcja
network,sieæ
jessica,jessica
version,wersja
concert,koncert
gear,bieg
singer,piosenkarz
diamond,diament
defeat,pokonaæ
steven,steven
lane,uliczka
blast,podmuch
wounded,ranny
anytime,w dowolnym momencie
partners,wzmacniacz
ages,wiecznoœæ
charlotte,charlotte
ceremony,ceremonia
league,liga
bars,s³upy
orange,pomarañczowy
specific,konkretny
conditions,warunki
plastic,plastikowy
crisis,kryzys
fifth,pi¹ty
term,termin
self,samego siebie
offering,oferuj¹c
bud,p¹czek
suffered,cierpia³
reported,zg³oszone
commissioner,komisarz
rip,rozerwaæ
mysterious,tajemniczy
entrance,wejœcie
messed,pomieszany
tunnel,tunel
designed,zaprojektowany
neighbor,s¹siad
aboard,na
sweat,pot
justin,justin
ghosts,duchy
crimes,przestêpstwa
costs,koszty
deserves,zas³uguje na
dreaming,marzenie
bust,biust
el,el
teddy,miœ
kong,kong
messages,wiadomoœci
enjoying,ciesz¹c
afterwards,nastêpnie
comfort,komfort
mason,mason
surrender,poddaæ siê
gym,si³ownia
kitty,koteczek
crush,zmia¿d¿yæ
yup,tak
arranged,u³o¿ony
suits,garnitury
pee,robiæ siku
stress,stres
cave,jaskinia
wing,skrzyd³o
jordan,jordania
arrange,zorganizowaæ
comrade,towarzysz
noble,szlachetny
tricks,wydziwianie
betty,betty
launch,pocz¹tek
legend,legenda
mix,mieszaæ
golf,golf
imagination,wyobraŸnia
fox,lis
kissing,ca³owanie
butter,mas³o
tax,podatek
gross,obrzydliwy
edward,edward
texas,teksas
insist,nalegaæ
marcus,marcus
classic,klasyczny
selfish,samolubny
skull,czaszka
frankie,frankie
shown,pokazane
bat,nietoperz
survived,prze¿y³
print,wydrukowaæ
champion,mistrz
bills,rachunki
therapy,terapia
lifetime,do¿ywotni
throughout,na wskroœ
a.m.,jestem.
nathan,nathan
toward,w kierunku
sauce,sos
experiment,eksperyment
margaret,ma³gorzata
describe,opisaæ
ross,ross
grass,trawa
cheat,oszukaæ
attend,braæ udzia³ w
homework,praca domowa
lewis,chwytak
betrayed,zdradzony
servant,s³uga
cap,czapka
tyler,tyler
bible,biblia
practically,praktycznie
catherine,catherine
steel,stal
wipe,wytrzeæ
burns,burns
j,j
generation,pokolenie
cabin,kabina
financial,bud¿etowy
industry,przemys³
bond,obligacja
sheep,owce
scientists,naukowcy
beaten,bity
heck,heck
deck,talia kart
fans,wentylatory
script,scenariusz
brand,marka
degree,stopieñ
painful,bolesny
coughing,kaszel
religion,religia
cats,koty
stephen,stephen
influence,wp³yw
fuel,paliwo
drawing,rysunek
uh-oh,o o
rabbit,królik
exercise,æwiczenie
attractive,atrakcyjny
touching,wzruszaj¹ce
virus,wirus
realise,realizowaæ
torture,torturowaæ
blessed,b³ogos³awiony
plain,zwyk³y
rebecca,rebecca
recent,ostatni
barbara,barbara
footsteps,œlady
sacred,poœwiêcony
removed,usuniêty
pretending,udawanie
wasted,zmarnowany
jewish,¿ydowski
goodnight,dobranoc
robot,robot
crystal,kryszta³
confirm,potwierdzaæ
lad,ch³opak
mile,mila
division,podzia³
scratch,zadrapanie
reminds,przypomina
walks,spacery
ending,koñcz¹cy siê
russia,rosja
contest,konkurs
valuable,wartoœciowy
distant,odleg³y
dumped,porzucone
motion,ruch
electricity,elektrycznoœæ
centre,œrodek
murders,morderstwa
tina,tina
jeremy,jeremy
seal,foka
standard,standard
ellen,ellen
wore,nosi³
surrounded,otoczony
struck,uderzony
inform,poinformowaæ
gentle,delikatny
status,status
purse,portmonetka
prints,wydruki
players,gracze
charged,na³adowany
begging,¿ebranie
delivered,dostarczony
kenny,kenny
buck,brykniêcie
nina,nina
construction,budowa
confirmed,potwierdzony
confession,wyznanie
trigger,cyngiel
cells,komórki
frankly,szczerze mówi¹c
ali,ali
exit,wyjœcie
response,odpowiedŸ
cancel,anulowaæ
argument,argument
principal,g³ówny
turkey,indyk
lucas,lucas
clinic,klinika
greetings,pozdrowienia
neighbors,s¹siedzi
vice,wice
toy,zabawka
hannah,hanna
everyday,codzienny
generous,hojny
gain,osi¹gaæ
idiots,idioci
holly,ostrokrzew
enjoyed,cieszy³ siê
jungle,d¿ungla
link,po³¹czyæ
underground,pod ziemi¹
smiling,uœmiechaj¹c siê
mistress,kochanka
teams,zespo³y
product,produkt
beef,wo³owina
whispers,szepty
religious,religijny
presents,przedstawia
identify,zidentyfikowaæ
chip,¿eton
chffffff,chffffff
surveillance,nadzór
carlos,carlos
vampire,wampir
routine,rutyna
uses,u¿ycie
michelle,michelle
underneath,pod spodem
systems,systemy
temperature,temperatura
waves,fale
tribe,plemiê
brad,æwiek
deputy,zastêpca
sophie,zofia
headquarters,siedziba
equal,równy
phones,telefony
ken,rozpoznaæ
reckon,liczyæ siê
related,zwi¹zane z
incredibly,niewiarygodnie
chill,ch³od
spit,pluæ
tracks,utwory
oscar,oscar
makeup,makija¿
bug,b³¹d
sounded,brzmia³o
spirits,duchy
nerve,nerw
divorced,rozwiedziony
stake,stawka
port,port
doorbell,dzwonek do drzwi
worries,zmartwienia
nephew,siostrzeniec
miller,m³ynarz
units,jednostki
just-,tylko-
proceed,przystêpowaæ
landing,l¹dowanie
traitor,zdrajca
outfit,strój
chloe,chloe
bail,kaucja
fields,pola
patience,cierpliwoœæ
recording,nagranie
foolish,niem¹dry
loaded,za³adowany
tokyo,tokio
davis,davis
costume,kostium
wayne,wayne
injured,ranny
somethin,coœ
ian,ian
pet,zwierzak domowy
cage,klatka szybowa
digging,kopanie
spain,hiszpania
seats,siedzenia
awkward,niezrêczny
cleaned,wyczyszczony
pattern,wzorzec
filthy,brudny
visiting,przyjezdny
jews,¿ydzi
answering,odpowiedŸ
concentrate,skupiaæ siê
someplace,jakieœ miejsce
citizens,obywatele
aim,cel
nancy,nancy
affairs,sprawy
thick,gruby
sport,sport
basic,podstawowy
electric,elektryczny
pleasant,przyjemne
cliff,klif
nail,gwóŸdŸ
russell,russell
environment,œrodowisko
western,zachodni
average,przeciêtny
ease,³atwoœæ
raped,zgwa³cony
interrupt,przerwaæ
judy,judy
satisfied,zadowolona
beep,brzêczyk
starving,g³oduj¹cy
documents,dokumenty
anniversary,rocznica
beth,beth
election,wybór
warrior,wojownik
r,r
forth,naprzód
fetch,aportowaæ
banks,banki
placed,umieszczony
timing,wyczucie czasu
stones,kamienie
complex,z³o¿ony
frozen,mro¿ony
replace,zast¹piæ
prayer,modlitwa
skip,pomijaæ
angeles,angeles
guilt,wina
tune,melodia
woo,zabiegaæ
actions,dzia³ania
conscience,sumienie
officially,oficjalnie
martha,martha
